variable name,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2000sf1,2000sf3
male_other_collplus,C15002F_006,C15002F_006,C15002F_006,C15002F_006,C15002F_006,C15002F_006,C15002F_006,C15002F_006,C15002F_006,C15002F_006,C15002F_006,,
male_other_collplus_a,,,,,,,,,,,,,P148F008
male_other_collplus_b,,,,,,,,,,,,,P148F009
female_other_lths,C15002F_008,C15002F_008,C15002F_008,C15002F_008,C15002F_008,C15002F_008,C15002F_008,C15002F_008,C15002F_008,C15002F_008,C15002F_008,,
female_other_lths_a,,,,,,,,,,,,,P148F011
female_other_lths_b,,,,,,,,,,,,,P148F012
female_other_hs,C15002F_009,C15002F_009,C15002F_009,C15002F_009,C15002F_009,C15002F_009,C15002F_009,C15002F_009,C15002F_009,C15002F_009,C15002F_009,,P148F013
female_other_somecoll,C15002F_010,C15002F_010,C15002F_010,C15002F_010,C15002F_010,C15002F_010,C15002F_010,C15002F_010,C15002F_010,C15002F_010,C15002F_010,,
female_other_somecoll_a,,,,,,,,,,,,,P148F014
female_other_somecoll_b,,,,,,,,,,,,,P148F015
female_other_collplus,C15002F_011,C15002F_011,C15002F_011,C15002F_011,C15002F_011,C15002F_011,C15002F_011,C15002F_011,C15002F_011,C15002F_011,C15002F_011,,
female_other_collplus_a,,,,,,,,,,,,,P148F016
female_other_collplus_b,,,,,,,,,,,,,P148F017
male_multi_lths,C15002G_003,C15002G_003,C15002G_003,C15002G_003,C15002G_003,C15002G_003,C15002G_003,C15002G_003,C15002G_003,C15002G_003,C15002G_003,,
male_multi_lths_a,,,,,,,,,,,,,P148G003
male_multi_lths_b,,,,,,,,,,,,,P148G004
male_multi_hs,C15002G_004,C15002G_004,C15002G_004,C15002G_004,C15002G_004,C15002G_004,C15002G_004,C15002G_004,C15002G_004,C15002G_004,C15002G_004,,P148G005
male_multi_somecoll,C15002G_005,C15002G_005,C15002G_005,C15002G_005,C15002G_005,C15002G_005,C15002G_005,C15002G_005,C15002G_005,C15002G_005,C15002G_005,,
male_multi_somecoll_a,,,,,,,,,,,,,P148G006
male_multi_somecoll_b,,,,,,,,,,,,,P148G007
male_multi_collplus,C15002G_006,C15002G_006,C15002G_006,C15002G_006,C15002G_006,C15002G_006,C15002G_006,C15002G_006,C15002G_006,C15002G_006,C15002G_006,,
male_multi_collplus_a,,,,,,,,,,,,,P148G008
male_multi_collplus_b,,,,,,,,,,,,,P148G009
female_multi_lths,C15002G_008,C15002G_008,C15002G_008,C15002G_008,C15002G_008,C15002G_008,C15002G_008,C15002G_008,C15002G_008,C15002G_008,C15002G_008,,
female_multi_lths_a,,,,,,,,,,,,,P148G011
female_multi_lths_b,,,,,,,,,,,,,P148G012
female_multi_hs,C15002G_009,C15002G_009,C15002G_009,C15002G_009,C15002G_009,C15002G_009,C15002G_009,C15002G_009,C15002G_009,C15002G_009,C15002G_009,,P148G013
female_multi_somecoll,C15002G_010,C15002G_010,C15002G_010,C15002G_010,C15002G_010,C15002G_010,C15002G_010,C15002G_010,C15002G_010,C15002G_010,C15002G_010,,
female_multi_somecoll_a,,,,,,,,,,,,,P148G014
female_multi_somecoll_b,,,,,,,,,,,,,P148G015
female_multi_collplus,C15002G_011,C15002G_011,C15002G_011,C15002G_011,C15002G_011,C15002G_011,C15002G_011,C15002G_011,C15002G_011,C15002G_011,C15002G_011,,
female_multi_collplus_a,,,,,,,,,,,,,P148G016
female_multi_collplus_b,,,,,,,,,,,,,P148G017
male_white_nohisp_lths,C15002H_003,C15002H_003,C15002H_003,C15002H_003,C15002H_003,C15002H_003,C15002H_003,C15002H_003,C15002H_003,C15002H_003,C15002H_003,,
male_white_nohisp_lths_a,,,,,,,,,,,,,P148I003
male_white_nohisp_lths_b,,,,,,,,,,,,,P148I004
male_white_nohisp_hs,C15002H_004,C15002H_004,C15002H_004,C15002H_004,C15002H_004,C15002H_004,C15002H_004,C15002H_004,C15002H_004,C15002H_004,C15002H_004,,P148I005
male_white_nohisp_somecoll,C15002H_005,C15002H_005,C15002H_005,C15002H_005,C15002H_005,C15002H_005,C15002H_005,C15002H_005,C15002H_005,C15002H_005,C15002H_005,,
male_white_nohisp_somecoll_a,,,,,,,,,,,,,P148I006
male_white_nohisp_somecoll_b,,,,,,,,,,,,,P148I007
male_white_nohisp_collplus,C15002H_006,C15002H_006,C15002H_006,C15002H_006,C15002H_006,C15002H_006,C15002H_006,C15002H_006,C15002H_006,C15002H_006,C15002H_006,,
male_white_nohisp_collplus_a,,,,,,,,,,,,,P148I008
male_white_nohisp_collplus_b,,,,,,,,,,,,,P148I009
female_white_nohisp_lths,C15002H_008,C15002H_008,C15002H_008,C15002H_008,C15002H_008,C15002H_008,C15002H_008,C15002H_008,C15002H_008,C15002H_008,C15002H_008,,
female_white_nohisp_lths_a,,,,,,,,,,,,,P148I011
female_white_nohisp_lths_b,,,,,,,,,,,,,P148I012
female_white_nohisp_hs,C15002H_009,C15002H_009,C15002H_009,C15002H_009,C15002H_009,C15002H_009,C15002H_009,C15002H_009,C15002H_009,C15002H_009,C15002H_009,,P148I013
female_white_nohisp_somecoll,C15002H_010,C15002H_010,C15002H_010,C15002H_010,C15002H_010,C15002H_010,C15002H_010,C15002H_010,C15002H_010,C15002H_010,C15002H_010,,
female_white_nohisp_somecoll_a,,,,,,,,,,,,,P148I014
female_white_nohisp_somecoll_b,,,,,,,,,,,,,P148I015
female_white_nohisp_collplus,C15002H_011,C15002H_011,C15002H_011,C15002H_011,C15002H_011,C15002H_011,C15002H_011,C15002H_011,C15002H_011,C15002H_011,C15002H_011,,
female_white_nohisp_collplus_a,,,,,,,,,,,,,P148I016
female_white_nohisp_collplus_b,,,,,,,,,,,,,P148I017
male_hisp_lths,C15002I_003,C15002I_003,C15002I_003,C15002I_003,C15002I_003,C15002I_003,C15002I_003,C15002I_003,C15002I_003,C15002I_003,C15002I_003,,
male_hisp_lths_a,,,,,,,,,,,,,P148H003
male_hisp_lths_b,,,,,,,,,,,,,P148H004
male_hisp_hs,C15002I_004,C15002I_004,C15002I_004,C15002I_004,C15002I_004,C15002I_004,C15002I_004,C15002I_004,C15002I_004,C15002I_004,C15002I_004,,P148H005
male_hisp_somecoll,C15002I_005,C15002I_005,C15002I_005,C15002I_005,C15002I_005,C15002I_005,C15002I_005,C15002I_005,C15002I_005,C15002I_005,C15002I_005,,
male_hisp_somecoll_a,,,,,,,,,,,,,P148H006
male_hisp_somecoll_b,,,,,,,,,,,,,P148H007
male_hisp_collplus,C15002I_006,C15002I_006,C15002I_006,C15002I_006,C15002I_006,C15002I_006,C15002I_006,C15002I_006,C15002I_006,C15002I_006,C15002I_006,,
male_hisp_collplus_a,,,,,,,,,,,,,P148H008
male_hisp_collplus_b,,,,,,,,,,,,,P148H009
female_hisp_lths,C15002I_008,C15002I_008,C15002I_008,C15002I_008,C15002I_008,C15002I_008,C15002I_008,C15002I_008,C15002I_008,C15002I_008,C15002I_008,,
female_hisp_lths_a,,,,,,,,,,,,,P148H011
female_hisp_lths_b,,,,,,,,,,,,,P148H012
female_hisp_hs,C15002I_009,C15002I_009,C15002I_009,C15002I_009,C15002I_009,C15002I_009,C15002I_009,C15002I_009,C15002I_009,C15002I_009,C15002I_009,,P148H013
female_hisp_somecoll,C15002I_010,C15002I_010,C15002I_010,C15002I_010,C15002I_010,C15002I_010,C15002I_010,C15002I_010,C15002I_010,C15002I_010,C15002I_010,,
female_hisp_somecoll_a,,,,,,,,,,,,,P148H014
female_hisp_somecoll_b,,,,,,,,,,,,,P148H015
female_hisp_collplus,C15002I_011,C15002I_011,C15002I_011,C15002I_011,C15002I_011,C15002I_011,C15002I_011,C15002I_011,C15002I_011,C15002I_011,C15002I_011,,
